latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-32.494,123.435,337.1,3.2,1.7,2020-01-01,0.0,Terra,78,123.1,D,1,1
-32.385999999999996,121.553,324.0,2.4,1.5,2020-01-01,0.0,Terra,28,22.7,D,1,1
-31.796999999999997,115.851,326.1,1.1,1.0,2020-01-01,0.0,Terra,23,9.1,D,1,1
-32.394,121.325,350.1,2.3,1.5,2020-01-01,0.0,Terra,93,151.8,D,1,1
-32.396,121.34899999999999,337.6,2.3,1.5,2020-01-01,0.0,Terra,76,75.2,D,1,1
-32.475,121.96700000000001,339.5,2.5,1.5,2020-01-01,0.0,Terra,72,94.9,D,1,1
-32.489000000000004,121.96600000000001,363.8,2.5,1.5,2020-01-01,0.0,Terra,100,299.4,D,1,1
-32.494,121.958,360.3,2.5,1.5,2020-01-01,0.0,Terra,100,256.7,D,1,1
-32.496,121.985,340.0,2.5,1.5,2020-01-01,0.0,Terra,30,90.9,D,1,1
-32.524,121.98200000000001,339.5,2.5,1.5,2020-01-01,0.0,Terra,53,101.6,D,1,1
-32.548,122.289,361.0,2.7,1.6,2020-01-01,0.0,Terra,100,314.8,D,1,1
-32.55,122.318,330.8,2.7,1.6,2020-01-01,0.0,Terra,73,68.6,D,1,1
-32.538000000000004,121.98100000000001,384.2,2.5,1.5,2020-01-01,0.0,Terra,100,606.7,D,1,1
-32.54,122.008,372.8,2.5,1.5,2020-01-01,0.0,Terra,100,433.5,D,1,1
-32.542,122.035,342.6,2.6,1.5,2020-01-01,0.0,Terra,69,127.3,D,1,1
-32.562,122.288,376.5,2.7,1.6,2020-01-01,0.0,Terra,100,525.2,D,1,1
-32.564,122.31700000000001,364.8,2.7,1.6,2020-01-01,0.0,Terra,100,361.5,D,1,1
-31.989,115.92399999999999,327.2,1.1,1.0,2020-01-01,0.0,Terra,22,8.0,D,1,1
-32.811,124.126,330.9,3.6,1.8,2020-01-01,0.0,Terra,74,114.9,D,1,1
-32.803000000000004,124.119,324.9,3.6,1.8,2020-01-01,0.0,Terra,57,65.5,D,1,1
-32.059,115.906,325.0,1.1,1.0,2020-01-01,0.0,Terra,27,6.6,D,1,1
-32.06,115.917,329.0,1.1,1.0,2020-01-01,0.0,Terra,66,12.0,D,1,1
-32.062,115.929,328.5,1.1,1.0,2020-01-01,0.0,Terra,64,11.1,D,1,1
-32.819,124.118,323.3,3.6,1.8,2020-01-01,0.0,Terra,45,56.9,D,1,1
-32.068000000000005,115.904,327.8,1.1,1.0,2020-01-01,0.0,Terra,55,10.6,D,1,1
-32.07,115.916,328.8,1.1,1.0,2020-01-01,0.0,Terra,60,11.5,D,1,1
-32.653,121.03399999999999,337.4,2.2,1.4,2020-01-01,0.0,Terra,63,55.5,D,1,1
-32.664,121.009,356.7,2.2,1.4,2020-01-01,0.0,Terra,98,183.1,D,1,1
-32.666,121.03200000000001,357.2,2.2,1.4,2020-01-01,0.0,Terra,98,182.6,D,1,1
-32.684,121.079,336.7,2.2,1.4,2020-01-01,0.0,Terra,64,53.2,D,1,1
-32.662,121.00399999999999,345.6,2.2,1.4,2020-01-01,0.0,Terra,89,108.4,D,1,1
-32.664,121.027,358.3,2.2,1.4,2020-01-01,0.0,Terra,98,193.4,D,1,1
-32.681,121.074,336.0,2.2,1.4,2020-01-01,0.0,Terra,71,48.5,D,1,1
-30.889,123.723,334.8,3.2,1.7,2020-01-01,0.0,Terra,69,79.8,D,1,1
